time,date,x,y,z,r,latitude,longitude,anomaly
4.0678,Sat Jul 13 09:23:35 2019,-1.521789551,3.307266235,9.416656494,10.09590377,30.37271918,120.1799976,0
4.0908,Sat Jul 13 09:23:35 2019,-1.698867798,0.950332642,11.37280273,11.53819422,30.37271918,120.1799976,0
4.1188,Sat Jul 13 09:23:35 2019,-0.872146606,3.339569092,9.764816284,10.3568817,30.37271918,120.1799976,0
4.1408,Sat Jul 13 09:23:35 2019,-0.945129395,2.84425354,7.641189575,8.207973312,30.37271918,120.1799976,0
4.1668,Sat Jul 13 09:23:35 2019,-0.553894043,1.723220825,10.59512329,10.74862439,30.37271918,120.1799976,0
4.1898,Sat Jul 13 09:23:35 2019,-0.720199585,3.435272217,8.76940918,9.44575672,30.37271918,120.1799976,0
4.2108,Sat Jul 13 09:23:36 2019,-0.713012695,3.014144897,10.13929749,10.60183051,30.37271918,120.1799976,0
4.2348,Sat Jul 13 09:23:36 2019,-0.836242676,2.080947876,7.971405029,8.280878215,30.37271918,120.1799976,0
4.2558,Sat Jul 13 09:23:36 2019,-0.629272461,2.386032104,8.460723877,8.813227647,30.37271918,120.1799976,0
4.2808,Sat Jul 13 09:23:36 2019,0.171127319,2.894500732,9.425033569,9.860967338,30.37271918,120.1799976,0
4.3018,Sat Jul 13 09:23:36 2019,-0.808731079,0.865386963,10.27330017,10.34135566,30.37271918,120.1799976,0
4.3258,Sat Jul 13 09:23:36 2019,-0.198562622,3.777450562,9.431015015,10.16132885,30.37271918,120.1799976,0
4.3508,Sat Jul 13 09:23:36 2019,-1.097061157,3.137374878,9.305389404,9.881140434,empty,empty,0
4.3758,Sat Jul 13 09:23:36 2019,-1.002548218,1.704071045,8.378173828,8.608295868,empty,empty,0
4.4008,Sat Jul 13 09:23:36 2019,-0.851806641,2.73059082,9.638000488,10.05349463,empty,empty,0
4.4218,Sat Jul 13 09:23:36 2019,-0.787200928,3.513046265,9.890441895,10.52530381,empty,empty,0
4.4458,Sat Jul 13 09:23:36 2019,-0.565856934,1.657409668,10.06750488,10.21870126,empty,empty,0
4.4688,Sat Jul 13 09:23:36 2019,-1.231063843,3.156509399,8.946472168,9.566526748,empty,empty,0
4.4908,Sat Jul 13 09:23:36 2019,-0.902053833,1.465988159,6.821640015,7.035452714,empty,empty,0
4.5178,Sat Jul 13 09:23:36 2019,-1.065963745,2.432693481,9.838989258,10.19117196,empty,empty,0
4.5408,Sat Jul 13 09:23:36 2019,-0.768051147,3.17326355,9.873687744,10.39948142,empty,empty,0
4.5678,Sat Jul 13 09:23:36 2019,-1.128173828,1.766281128,7.027435303,7.333305676,empty,empty,0
4.5908,Sat Jul 13 09:23:36 2019,-0.813522339,2.010360718,8.478683472,8.751653685,empty,empty,0
4.6178,Sat Jul 13 09:23:36 2019,-0.112426758,2.333389282,9.917953491,10.18936439,empty,empty,0
4.6408,Sat Jul 13 09:23:36 2019,-0.199752808,2.60496521,10.48625183,10.8068137,empty,empty,0
4.6668,Sat Jul 13 09:23:36 2019,0.031143188,2.510452271,8.728729248,9.082623783,empty,empty,0
4.6908,Sat Jul 13 09:23:36 2019,-0.014312744,2.381240845,9.798324585,10.08353497,empty,empty,0
4.7128,Sat Jul 13 09:23:36 2019,-0.456985474,2.895690918,9.361633301,9.809894988,empty,empty,0
4.7358,Sat Jul 13 09:23:36 2019,-1.455993652,2.853820801,12.07269287,12.49056139,empty,empty,0
4.7608,Sat Jul 13 09:23:36 2019,-1.097061157,2.531982422,7.094421387,7.612180567,empty,empty,0
4.7838,Sat Jul 13 09:23:36 2019,-0.665161133,2.447036743,8.191543579,8.57506935,empty,empty,0
4.8068,Sat Jul 13 09:23:36 2019,-0.672348022,1.163299561,10.26611328,10.353666,empty,empty,0
4.8348,Sat Jul 13 09:23:36 2019,-1.046813965,2.351333618,8.162826538,8.558990966,empty,empty,0
4.8578,Sat Jul 13 09:23:36 2019,-1.115020752,3.05960083,10.80329895,11.28342575,empty,empty,0
4.8758,Sat Jul 13 09:23:36 2019,-0.985794067,2.926803589,10.02682495,10.49167231,30.37271918,120.1799976,0
4.9008,Sat Jul 13 09:23:36 2019,-0.283508301,2.023513794,9.959838867,10.16726981,30.37271918,120.1799976,0
4.9258,Sat Jul 13 09:23:36 2019,-0.119598389,3.767883301,9.366409302,10.09657722,30.37271918,120.1799976,0
4.9468,Sat Jul 13 09:23:36 2019,-0.246414185,2.420715332,10.44796753,10.72756301,30.37271918,120.1799976,0
4.9668,Sat Jul 13 09:23:36 2019,-0.153091431,1.798583984,10.04118347,10.20214227,30.37271918,120.1799976,0
4.9908,Sat Jul 13 09:23:36 2019,-0.064559937,2.546340942,8.860336304,9.219196255,30.37271918,120.1799976,0
5.0168,Sat Jul 13 09:23:36 2019,-0.290679932,1.876358032,9.67868042,9.863167288,30.37271918,120.1799976,0
5.0408,Sat Jul 13 09:23:36 2019,-0.650802612,3.61114502,10.21586609,10.85485294,30.37271918,120.1799976,0
5.0908,Sat Jul 13 09:23:36 2019,-0.861373901,1.903869629,8.63899231,8.888131001,empty,empty,0
5.0988,Sat Jul 13 09:23:36 2019,-0.03944397,1.907455444,11.43978882,11.59778903,empty,empty,0
5.1168,Sat Jul 13 09:23:36 2019,-0.772842407,4.355316162,8.685653687,9.74713518,empty,empty,0
5.1398,Sat Jul 13 09:23:36 2019,-0.579025269,2.315444946,8.513366699,8.841604386,empty,empty,0
5.1608,Sat Jul 13 09:23:36 2019,-0.702255249,0.632080078,10.91337585,10.95419829,empty,empty,0
5.1828,Sat Jul 13 09:23:36 2019,-0.546722412,1.748336792,8.18196106,8.384513922,empty,empty,0
5.2058,Sat Jul 13 09:23:37 2019,-0.72857666,4.017929077,7.041778564,8.140099715,empty,empty,0
5.2268,Sat Jul 13 09:23:37 2019,-0.221298218,0.92880249,11.39312744,11.43306607,empty,empty,0
5.2758,Sat Jul 13 09:23:37 2019,1.109115601,1.532989502,9.580566406,9.765625781,empty,empty,0
5.2818,Sat Jul 13 09:23:37 2019,0.972717285,3.352722168,4.782958984,5.92145434,empty,empty,0
5.2958,Sat Jul 13 09:23:37 2019,0.941619873,3.236679077,14.93571472,15.31137857,empty,empty,0
5.3208,Sat Jul 13 09:23:37 2019,-0.208129883,1.114242554,9.12713623,9.19725341,empty,empty,0
5.3418,Sat Jul 13 09:23:37 2019,-0.119598389,3.892303467,7.943878174,8.847006866,empty,empty,0
5.3668,Sat Jul 13 09:23:37 2019,0.705917358,2.329788208,10.97079468,11.23764069,empty,empty,0
5.3918,Sat Jul 13 09:23:37 2019,-1.373443604,1.820129395,12.31915283,12.52839754,empty,empty,0
5.4118,Sat Jul 13 09:23:37 2019,-1.068359375,4.434280396,8.454742432,9.606607308,empty,empty,0
5.4338,Sat Jul 13 09:23:37 2019,-0.117202759,3.124206543,8.101806641,8.684104666,empty,empty,0
5.4568,Sat Jul 13 09:23:37 2019,-0.874526978,0.90725708,11.81546021,11.88246661,empty,empty,0
5.4768,Sat Jul 13 09:23:37 2019,-0.301452637,2.648040771,9.691833496,10.05159839,empty,empty,0
5.5028,Sat Jul 13 09:23:37 2019,-1.532562256,0.964691162,7.8697052,8.075372192,empty,empty,0
5.5268,Sat Jul 13 09:23:37 2019,0.571929932,5.196395874,11.01028442,12.18835498,empty,empty,0
5.5468,Sat Jul 13 09:23:37 2019,-0.325378418,2.346542358,7.879272461,8.227701178,empty,empty,0
5.5718,Sat Jul 13 09:23:37 2019,0.174713135,1.518630981,8.496627808,8.633044008,empty,empty,0
5.5968,Sat Jul 13 09:23:37 2019,-0.16267395,2.553527832,6.767807007,7.235342347,empty,empty,0
5.6228,Sat Jul 13 09:23:37 2019,-0.447418213,2.565490723,8.697616577,9.079122195,empty,empty,0
5.6468,Sat Jul 13 09:23:37 2019,0.579101563,0.447845459,9.596130371,9.624013834,empty,empty,0
5.6668,Sat Jul 13 09:23:37 2019,-1.361480713,2.095291138,11.15145874,11.42798787,empty,empty,0
5.6918,Sat Jul 13 09:23:37 2019,-1.051605225,5.501480103,8.128128052,9.871100369,empty,empty,0
5.7128,Sat Jul 13 09:23:37 2019,-0.409133911,4.057418823,8.763427734,9.665800728,empty,empty,0
5.7338,Sat Jul 13 09:23:37 2019,-0.459381104,0.378448486,8.8878479,8.907754743,empty,empty,0
5.7578,Sat Jul 13 09:23:37 2019,-0.83984375,0.309051514,9.865310669,9.905816723,empty,empty,0
